plural dominant;semantic plt;Pluralia tantum formali
;;МАХРЫ
;;МЕГРЕЛЫ
;;МЕДИКАМЕНТЫ
;;МЕМУАРЫ
;;МЕТИЗЫ
;;МИАЗМЫ
;;МИНГРЕЛЫ
;;МИРИАДЫ
;;МОКАСИНЫ
;;МОЛОДОЖЁНЫ
;;МОЛОКИ
;;МОЛЫ
;;МОСКАЛИ
;;МОСТКИ
;;МОТОГОНКИ
;;МОЩИ
;;МУРАШКИ
;;НАПАДКИ
;;НАРКОТИКИ
;;НАРТЫ
;;НАРУЧНИКИ
;;НАРЫ
;;НАЧАТКИ
;;НЕГРЫ
;;НЕЛАДЫ
;;НЕЛЮДИ
;;НЕПОЛАДКИ
;;НЕСТРОЕВОИ
;;НЕЧИСТОТЫ
;;НИТРАТЫ
;;НОГОТКИ
;;НОЖНИЦЫ
;;НОЖНЫ
;;НОСИЛКИ
;;ОБЖИМКИ
;;ОБНОСКИ
;;ОБОИ
;;ОБРАСТАТЕЛИ
;;ОБЪЕДКИ
;;ОВОЩИ
;;ОГНЕПРИПАСЫ
;;ОГНЕУПОРЫ
;;ОКОВЫ
;;ОПИВКИ
;;ОПИЛКИ
;;ОПОРКИ
;;ОРГВЫВОДЫ
;;ОСАДКИ
;;ОСТАНКИ
;;ОСТРОГУБЦЫ
;;ОТБРОСЫ
;;ОТГОВОРЫ
;;ОТЖИМКИ
;;ОТЛИТЫ
;;ОТРУБИ
;;ОТСЕВКИ
;;ОЧЁСКИ
;;ОЧИСТКИ
;;ОЧКИ
;;ОШМЁТКИ
;;ПАГОЛЕНКИ
;;ПАМПАСЫ
;;ПАНТАЛОНЫ
;;ПАНТЫ
;;ПАПУАСЫ
;;ПЕЛЬМЕНИ
;;ПЕНАТЫ
;;ПЕРВОЗВЕРИ
;;ПЕРЕВЫБОРЫ
;;ПЕРЕГОВОРЫ
;;ПЕРЕГРУЗКИ
;;ПЕРЕЗВОНИ
;;ПЕРЕКОРЫ
;;ПЕРЕСУДЫ
;;ПЕРЕТОЛКИ
;;ПЕРСИ
;;ПЕРСЫ
;;ПИКИ
;;ПИКУЛИ
;;ПИЛОМАТЕРИАЛЫ
;;ПИМЫ
;;ПИНЕТКИ
;;ПИСЬМЕНА
;;ПЛАВКИ
;;ПЛАВНИ
;;ПЛАСТИКИ
;;ПЛЕЧИКИ
;;ПЛОСКОГУБЦЫ
;;ПЛУТНИ
;;ПОБОИ
;;ПОБОРЫ
;;ПОГОНЫ
;;ПОДЖИЛКИ
;;ПОДМОСТИ
;;ПОДМОСТКИ
;;ПОДОНКИ
;;ПОДТЯЖКИ
;;ПОДУСНИКИ
;;ПОДШТАННИКИ
;;ПОЖИТКИ
;;ПОКОИ
;;ПОЛАТИ
;;ПОЛБЕДЫ
;;ПОЛИВИТАМИНЫ
;;ПОЛИМЕТЫ
;;ПОЛУБОТИНКИ
;;ПОЛУОБЕЗЬЯНЫ
;;ПОЛУПРОВОДНИКИ
;;ПОЛУСАПОЖКИ
;;ПОМИНКИ
;;ПОМОИ
;;ПОМОЧИ
;;ПОПОЛЗТИ
;;ПОРТКИ
;;ПОРТКИ
;;ПОРТЫ
;;ПОСИДЕЛКИ
;;ПОСКРЁБКИ
;;ПОСКРЁБКИ
;;ПОСЛЕДКИ
;;ПОТЁМКИ
;;ПОТРОХА
;;ПОТУГИ
;;ПОХОРОНЫ
;;ПОЧКИ
;;ПОШЕВНИ
;;ПРЕРИИ
;;ПРИКРАСЫ
;;ПРИМАТЫ
;;ПРИПАСЫ
;;ПРИЧИНДАЛЫ
;;ПРОВОДЫ
;;ПРОГОНЫ
;;ПРОИСКИ
;;ПРОМТОВАРЫ
;;ПРОТОРИ
;;ПРУССАКИ
;;ПРЫГАЛКИ
;;ПРЯТКИ
;;ПУАНТЫ
;;ПУТЫ
;;ПУШТУНЫ
;;ПЯЛЬЦЫ
;;ПЯТНАШКИ
;;РАЗВОДЫ
;;РАЗГОВОРЫ
;;РАЗНОТОЛКИ
;;РЕАКТИВЫ
;;РЕБЯТА
;;РЕЙТУЗЫ
;;РЕСНИЦЫ
;;РЕСНИЧКИ
;;РЕЦЕПТОРЫ
;;РОДИНЫ
;;РОДИТЕЛИ
;;РОДЫ
;;РОЗВАЛЬНИ
;;РОСПУСКИ
;;РОССКАЗНИ
;;РОСТРЫ
;;РУНЫ
;;СААМЫ
;;САВАННЫ
;;САЖЁНКИ
;;САЛАЗКИ
;;САЛКИ
;;САМОЕДЫ
;;САНДАЛЕТЫ
;;САНДАЛИИ
;;САНИ
;;САНКИ
;;САНТИМЕНТЫ
;;САПОГИ
;;СВАНЫ
;;СВЯТКИ
;;СВЯТЦЫ
;;СЕГОЛЕГКИ
;;СЕНИ
;;СИЛИКАТЫ
;;СКАЧКИ
;;СКРИЖАЛИ
;;СЛИВКИ
;;СЛОВЕСА
;;СЛЮНИ
;;СМОТРИНЫ
;;СНЕГОСТУПЫ
;;СОЛДАТИКИ
;;СОЛОНЦЫ
;;СОЛОНЧАКИ
;;СОПЛИ
;;СОСЦЫ
;;СОТЫ
;;СПАГЕТТИ
;;СПЕЦИИ
;;СПОЛОХИ
;;СТАНСЫ
;;СТОЛБЦЫ
;;СТРОЙМАТЕРИАЛЫ
;;СУБТРОПИКИ
;;СУЛЬФАТЫ
;;СУЛЬФИДЫ
;;СУМЕРКИ
;;СУТКИ
;;СУХОФРУКТЫ
;;СХВАТКИ
;;СХОДНИ
;;ТАНКЕТКИ
;;ТАПКИ
;;ТАПОЧКИ
;;ТАРЫ-БАРЫ
;;ТЕЛЕСА
;;ТЕНЁТА
;;ТЕФТЕЛИ
;;ТЕХАСЫ
;;ТИСКИ
;;ТИТЬКИ
;;ТОКСИНЫ
;;ТОЛКИ
;;ТОРГИ
;;ТОРМАШКИ
;;ТОРФОРАЗРАБОТКИ
;;ТРАВЛЕНЫИ
;;ТРЕФЫ
;;ТРОЙНЯШКИ
;;ТРОПИКИ
;;ТРУСИКИ
;;ТРУСЫ
;;ТУРУСЫ
;;ТУФЛИ
;;ТЮРКИ
;;УГЛЕВОДЫ
;;УЗЫ
;;УНИВЕРСАЛИИ
;;УНТЫ
;;УСИКИ
;;УСТА
;;УСЫ
;;ФИЖМЫ
;;ФИНАНСЫ
;;ФЛЮИДЫ
;;ФОСФАТЫ
;;ХАРЧИ
;;ХВГХАНЫСИ
;;ХИМИКАЛИИ
;;ХЛОПОТЫ
;;ХОДИКИ
;;ХОДУЛИ
;;ХОРОМЫ
;;ХОРЫ
;;ХРОМОСОМЫ
;;ХРУЩОБЫ
;;ЦИМБАЛЫ
;;ЦИТРУСЫ
;;ЦЫПКИ
;;ЧАРЫ
;;ЧЁБОТЫ
;;ЧЕЛЮСКИНЦЫ
;;ЧЕРВИ
;;ЧЕРВЫ
;;ЧЕРЕВИКИ
;;ЧЕРЕМИСЫ
;;ЧЕТВЕРЕНЬКИ
;;ЧЁТКИ
;;ЧЕШКИ
;;ЧИКЧИРЫ
;;ЧРЕСЛА
;;ЧУВЯКИ
;;ЧУНИ
;;ЧУХОНЦЫ
;;ШАРОВАРЫ
;;ШАХМАТЫ
;;ШАШКИ
;;ШАШНИ
;;ШЕРПА
;;ШИПОВКИ
;;ШКАНЦЫ
;;ШКВАРКИ
;;ШЛЁПАНЦЫ
;;ШМОТКИ
;;ШОРТЫ
;;ШОРЫ
;;ШПАТЫ
;;ШПРОТЫ
;;ШТАНЫ
;;ШТИБЛЕТЫ
;;ШУРЫ-МУРЫ
;;ШХЕРЫ
;;ЩЕДРОТЫ
;;ЩИ
;;ЩИПЦЫ
;;ЩИПЧИКИ
;;ЩУПАЛЬЦА
;;ЭКИВОКИ
;;ЭКСКРЕМЕНТЫ
;;ЭЛЕКТРОПРИБОРЫ
;;ЭНЕРГОНОСИТЕЛИ
;;ЭПОЛЕТЫ
;;ЭРИТРОЦИТЫ
;;ЯДОХИМИКАТЫ
;;ЯНЫЧАРЫ
